Symbol,Security
AAPL,Apple Inc.
MSFT,Microsoft Corporation
AMZN,Amazon.com Inc.
NVDA,NVIDIA Corporation
GOOGL,Alphabet Inc. Class A
GOOG,Alphabet Inc. Class C
META,Meta Platforms Inc.
TSLA,Tesla Inc.
PEP,PepsiCo Inc.
COST,Costco Wholesale Corporation
AVGO,Broadcom Inc.
ADBE,Adobe Inc.
CSCO,Cisco Systems Inc.
AMD,Advanced Micro Devices Inc.
NFLX,Netflix Inc.
INTC,Intel Corporation
QCOM,Qualcomm Incorporated
AMGN,Amgen Inc.
TXN,Texas Instruments Incorporated
HON,Honeywell International Inc.
SBUX,Starbucks Corporation
INTU,Intuit Inc.
PYPL,PayPal Holdings Inc.
MDLZ,Mondelez International Inc.
