Symbol,Security
AAPL,Apple Inc.
MSFT,Microsoft Corporation
AMGN,Amgen Inc.
AXP,American Express Company
BA,The Boeing Company
CAT,Caterpillar Inc.
CRM,Salesforce Inc.
CSCO,Cisco Systems Inc.
CVX,Chevron Corporation
DIS,Walt Disney Company
DOW,Dow Inc.
GS,Goldman Sachs Group Inc.
HD,Home Depot Inc.
HON,Honeywell International Inc.
IBM,International Business Machines
INTC,Intel Corporation
JNJ,Johnson & Johnson
JPM,JPMorgan Chase & Co.
KO,Coca-Cola Company
MCD,McDonald's Corporation
MMM,3M Company
MRK,Merck & Co. Inc.
NKE,Nike Inc.
PG,Procter & Gamble Company
TRV,Travelers Companies Inc.
UNH,UnitedHealth Group
V,Visa Inc.
VZ,Verizon Communications Inc.
WBA,Walgreens Boots Alliance Inc.
WMT,Walmart Inc.
